mz,rt,Exp1R_CRR_11_POS,Exp1R_CRR_12_POS,Exp1R_CRR_13_POS,Exp1R_CRR_14_POS,Exp1R_CRR_15_POS,Exp1R_HCC_11_POS,Exp1R_HCC_12_POS,Exp1R_HCC_13_POS,Exp1R_HCC_14_POS,Exp1R_HCC_15_POS,isotopes,adduct
#,#,CRR,CRR,CRR,CRR,CRR,HCC,HCC,HCC,HCC,HCC,#,#
90.50866578,695.5514735,6934.958749,7180.318026,7193.37823,7192.443683,6911.915279,6924.722784,7379.82171,7210.736336,7271.249494,7734.02394,,[3M+H+K]2+ 47.022
90.97893652,21.15223344,2590.992955,2739.915689,2955.453871,2834.811192,1783.291279,3001.501979,2910.037258,2868.699118,2615.096804,2849.734623,,
90.9768134,484.3610949,5580.993086,6536.136098,5252.609491,5984.275834,5865.865119,4497.215763,5977.560207,5634.935913,4732.396882,5364.208184,,
91.50350736,695.5508665,2677.232928,2780.366252,2674.470267,2824.970318,2705.605168,2729.088474,2894.139782,2824.92601,2844.528663,2976.523145,,
92.50095771,695.55117,450.5085309,446.2026592,454.9036393,420.6842489,455.6952101,422.8383859,455.6487212,471.4493538,435.3400219,501.4241479,,[M+K]+ 53.5414
93.07116437,71.40988453,282.5456984,158.0656123,123.7833693,337.0679226,128.9834187,305.4345108,115.7844784,101.3891635,231.7827057,139.477669,,[M+H]+ 92.0651
94.04671947,694.896012,564.4777242,516.1145742,481.4635653,502.4455399,543.6936729,464.9396812,514.8441002,497.5653916,514.1618965,520.6281491,,
94.0670074,23.5830051,306.1629227,303.5996788,350.1794344,307.5178457,329.1849519,306.760843,352.4857342,328.5812363,336.6491332,312.7926415,,[M+Na]+ 71.0758
94.97497253,704.4980435,433.0514345,441.5154735,425.8720945,444.9095116,386.0647237,447.2446506,404.8653797,410.7436585,451.3359203,410.14551,,
96.96309997,705.1552284,6232.469572,6384.440135,6498.723213,6391.019122,5939.719459,6469.170158,6384.415506,6363.703223,6406.144582,6379.403254,,
96.92137635,22.92722452,659.5869326,718.0370049,622.8575999,790.5819191,1774.588015,784.2064269,665.4352117,608.4511468,795.61107,647.5343673,,[M+K]+ 57.9613 [M+2H-C5H8O4]2+ 323.869
98.51072728,699.9475811,4593.394407,4606.20052,4657.831244,4722.205537,4654.551465,4683.467142,4687.943944,4516.992746,4614.084419,4751.767877,,
98.9651785,28.73676869,769.1707613,869.4004741,972.5751754,929.5508046,1518.495114,985.885027,1011.145124,968.7434205,1009.362249,1092.081456,,
99.51149615,695.6068064,14126.19287,13360.24001,13494.28092,14657.74425,12958.32474,13877.53316,14902.06583,14824.10474,13492.72712,14756.41128,,
100.0780965,71.61182763,148.502843,326.0382124,4327.060899,334.0342703,388.4075371,239.7238624,350.3190605,240.8462725,484.4776669,330.2619318,,
100.5095559,695.5929247,5986.309186,5854.885003,5735.413514,6482.750259,5430.599297,5831.980629,6080.719245,6116.319656,5735.081594,6239.115317,,
101.2348021,695.6030011,157.3347706,125.2389926,139.2880303,192.8200911,119.012974,194.4335446,219.1902604,206.1901882,134.1599979,190.4609281,,[M+3H-C6H10O5]3+ 462.743
102.0434473,695.5584835,3774.524703,3924.031805,3874.749956,7537.179724,3909.194407,3767.97226,3961.696733,3872.307577,3917.151023,3908.827514,,
102.9558603,696.0815488,114.2202293,109.680168,153.9916646,237.5800232,140.0734779,146.8284033,152.7441425,130.7369579,134.0316066,124.3669308,,
103.0532229,71.76164801,909.934963,805.8686812,741.1621873,1270.209203,671.650855,1309.878297,674.3134916,617.3245243,1024.607476,876.3145138,,[M+H-HCOOH]+ 148.049
104.0758448,28.14792179,2012.358337,2170.883495,2799.207684,2842.399989,2290.844156,3647.401752,2128.926943,2217.401412,3163.148689,1938.631804,,[M+H-CO]+ 131.064
105.0281553,29.78287777,579.0828393,528.6942003,555.6078084,552.0310423,526.1508543,553.9657525,636.422865,587.4397696,637.4635796,606.1349144,,
107.0387668,71.14307251,483.7436149,428.7925285,397.8997376,641.1360483,373.1717061,643.1408873,333.4302082,344.849303,511.5467286,400.9084463,,[M+H-COCH2]+ 148.049
