mz,rt,Exp1F_CRR_1_POS,Exp1F_CRR_10_POS,Exp1F_CRR_2_POS,Exp1F_CRR_3_POS,Exp1F_CRR_4_POS,Exp1F_CRR_5_POS,Exp1F_CRR_6_POS,Exp1F_CRR_7_POS,Exp1F_CRR_8_POS,Exp1F_CRR_9_POS,Exp1F_HCC_1_POS,Exp1F_HCC_10_POS,Exp1F_HCC_2_POS,Exp1F_HCC_3_POS,Exp1F_HCC_4_POS,Exp1F_HCC_5_POS,Exp1F_HCC_6_POS,Exp1F_HCC_7_POS,Exp1F_HCC_8_POS,Exp1F_HCC_9_POS,isotopes,adduct
#,#,CRR,CRR,CRR,CRR,CRR,CRR,CRR,CRR,CRR,CRR,HCC,HCC,HCC,HCC,HCC,HCC,HCC,HCC,HCC,HCC,#,#
86.09583843,51.11305222,9606.089303,11934.21051,19504.40707,8893.73103,8977.432227,11547.28318,11810.08659,13415.66285,14785.91399,15200.82232,24629.58613,16617.96058,12615.5349,13197.16375,12399.49077,21447.66648,9826.554328,17396.80273,15764.16329,16294.74617,[1][M]+,[M+K]+ 47.131 [M+Na]+ 63.1049 [M+H]+ 85.0873
87.09080693,50.63799612,830.8613128,953.0520256,1481.160357,612.9217565,662.022634,1072.799865,984.330862,964.6572669,1204.86321,1058.047322,1732.921411,1225.109491,903.0894474,959.0518145,1129.109608,1499.470526,835.9475302,1187.488862,1100.830408,1340.397687,[1][M+1]+,
87.00201694,702.6311996,264.588052,191.7989664,241.4264502,219.0154976,240.9342234,243.8011718,185.0823199,223.280144,196.8032948,170.481081,251.4409882,166.0361743,254.6532604,199.6964142,206.964522,197.8807237,231.4297396,193.065812,186.4175471,173.9762796,,[M+H]+ 85.9929 [M+H]+ 85.9929
88.50823036,701.4111453,282.53267,181.522366,265.8259964,229.846475,241.6803557,209.0637999,205.2635932,188.6935261,163.6125165,171.541305,272.4677348,176.0600601,260.1918153,233.0396884,230.6875935,173.6752323,185.8534118,189.2482035,155.5266032,171.2011481,,
89.50514768,701.9017313,3570.964091,2276.466323,3432.372807,3150.741514,2937.808568,2901.180478,2585.447728,2588.104969,2561.68812,2335.349932,3928.096542,2233.952947,3600.876192,3142.385649,2953.587244,2591.309529,2680.083578,2568.019529,2259.842705,2192.21529,,
90.05278945,29.08542827,152.8233929,196.8328844,322.9809619,244.7487005,247.3406324,216.4220975,142.9189867,143.2546394,116.6724759,382.8378864,221.4270324,554.1452024,196.818226,168.9094494,123.9557001,188.8294589,134.0679366,149.423131,141.7712214,408.4260541,,[M+H-NH3]+ 106.074
90.50776658,699.0688542,6157.926597,6406.790087,6006.636446,6255.068632,6292.742162,6174.272657,6528.317166,6330.051897,6212.963233,6229.977739,6507.009006,6467.854139,6490.232532,6054.405604,6018.853511,6017.847956,6461.062636,6559.923815,6029.633919,6678.822637,,[3M+H+K]2+ 47.0215
90.97744613,24.71596135,3196.662199,2882.780716,2812.264103,2824.597888,3347.387843,2582.138324,2661.252843,3096.245366,3198.34156,2973.680595,2929.681584,3206.912157,2528.172881,3051.402323,2903.321978,3028.542094,3134.913943,3090.290028,3235.136353,3135.822247,,[M+2Na]2+ 135.977 [M+H-HCOOH]+ 135.977
91.50344664,698.1832425,2485.841581,2566.452441,2390.209505,2413.793298,2495.658426,2378.069833,2630.956978,2508.126082,2557.938024,2394.131799,2567.447256,2602.386355,2556.12887,2410.862986,2320.830868,2335.769309,2613.562331,2522.370709,2389.372085,2631.30772,,
92.50134455,698.3862088,409.0480089,402.555948,349.4608677,401.7697944,384.3425911,409.43819,436.9108888,434.272568,443.1546447,410.1050169,423.8841958,410.300748,397.44102,359.501049,380.8414601,353.6432261,421.8392463,432.895545,377.7359344,421.6647942,,
93.07213287,85.1648931,101.4174096,238.4198028,230.2875512,112.8165796,106.740753,216.2746471,121.1297942,110.5532362,204.4984765,130.2739335,221.3322656,205.046009,136.2027477,89.47035868,254.6261886,106.6009785,132.5921421,111.1965232,113.0310225,239.7387185,,[M+H]+ 92.0654
94.04701239,697.3167647,378.3897924,378.776251,349.0267659,376.2702128,376.8654658,353.0276098,369.6388928,373.4833302,379.4393753,353.1910104,362.696539,356.2022779,388.3031723,357.5282248,334.3106819,372.0233263,360.9504437,394.4225418,381.0473124,380.1391897,,[M+Na]+ 71.0552
94.06841692,27.21661036,223.0008833,229.3634933,253.5641079,282.9307089,252.6990791,306.4942763,247.7727537,242.5667596,253.0602552,254.1158983,229.3873385,249.2299904,247.5052547,242.0069565,228.260104,231.8714184,254.826876,259.5437177,231.9205149,244.1649062,,
94.97724926,707.7327385,490.3205727,534.0322511,520.9610684,536.244359,497.4305435,530.5982178,490.667027,488.6229034,498.930354,520.777429,481.6934102,470.66023,502.167124,495.8985255,510.4065194,467.3448498,500.5825619,541.9553698,518.0845007,514.0322665,,
96.96317586,707.9391147,7605.574592,7541.716289,7466.711065,7689.130091,7725.79946,7672.800007,7598.070682,7636.215613,7383.878013,7710.443186,7581.545903,7341.856321,7739.248422,7464.291855,7397.299183,7564.276509,7598.079119,7837.40031,7427.25128,7438.346322,,[M+K]+ 57.9952
