mz,rt,X120621_Pivus_000101,X120621_Pivus_000201,X120621_Pivus_000301,X120621_Pivus_000401,X120621_Pivus_000501,X120621_Pivus_000601,X120621_Pivus_000701,X120621_Pivus_000801,X120621_Pivus_000901,X120621_Pivus_001001,X120621_Pivus_001101,X120621_Pivus_001201,X120621_Pivus_001301,X120621_Pivus_001401,X120621_Pivus_001501,X120621_Pivus_001601,X120621_Pivus_001701,X120621_Pivus_001801,X120621_Pivus_001901,X120621_Pivus_002001,isotopes,adduct
#,#,normal,normal,normal,normal,normal,normal,normal,normal,normal,normal,normal,normal,normal,normal,normal,normal,normal,normal,normal,normal,#,#
71.07028236,457.1273218,5520.971719,4055.142367,5885.099919,2959.169235,2857.821833,2205.636425,6199.896442,3602.915849,3400.856064,5698.317265,3606.750884,4888.646927,3330.966287,3534.827027,4648.330358,4164.846899,4141.23154,5404.208235,2812.150547,3654.352801,,
72.08154423,1077.094759,13983.80198,15353.56751,14978.27999,13969.71272,14567.73628,15056.98058,15137.34678,14494.43423,15317.92897,13887.82784,15570.06124,15763.83311,14566.567,14783.59106,14633.24544,15999.88965,15369.66805,14776.27618,14696.54115,16119.44394,,
72.07964002,37.94668819,7522.087043,6560.345207,8223.019023,7169.715992,6011.002942,10310.79065,8254.882743,6986.049255,6206.379024,6824.040314,7929.708477,6093.96913,7266.610726,7755.606893,7964.577373,7122.070157,5691.464028,5827.160872,8939.250264,5582.76769,,
72.93793098,1091.464417,43381.5478,35591.33646,32010.18549,29716.46805,28742.04951,27155.41183,26855.17638,24628.8202,23982.57609,23440.9204,20627.15667,21389.18426,22257.37922,20277.02158,20142.69727,28024.42334,32799.53473,28239.01009,26044.43262,23987.84241,,
73.94572523,1093.559831,18157.57041,15763.75124,13756.04273,12434.44019,12279.14056,11892.41315,11366.36046,10630.39263,9967.740012,10043.03948,9301.156199,9484.145917,8080.618745,8240.87685,8813.457723,13357.86515,13955.49578,12549.1763,10897.51063,10720.21776,,
74.95348809,1088.927512,11020.17809,8572.190973,8097.6389,7390.302065,7401.349963,6504.318142,6646.497933,6632.600005,5413.405138,5851.515827,5345.262142,5417.684839,5480.576914,4916.026544,4653.519871,6995.604285,8274.69028,7244.184972,6706.881274,6960.374654,,
80.94868534,34.71248161,70321.65196,78352.99732,76066.9488,64428.29571,57634.59744,67939.20056,68999.3464,82375.73018,68483.56892,80504.58116,75920.37686,74560.86855,66867.7267,83410.85509,69312.44932,63786.73427,75714.26471,72563.21245,79738.97375,62098.26491,,[M+2H-C6H10O4]2+ 305.948
81.07070797,465.307313,19500.922,16410.55146,19107.61228,11640.40109,15174.16331,11028.72876,21045.16243,17931.84178,18368.39868,27289.97094,17644.28697,18092.79703,15480.29809,21171.03217,19686.94412,20866.10848,25396.09238,26300.49898,17637.86428,22947.99849,,[M+2H-C2H4]2+ 188.157
81.06967616,421.7601417,13181.29749,12269.00929,13951.81079,6969.268551,8458.818758,8830.983904,14240.52089,11592.05485,10162.63455,17839.20525,11207.49024,14179.07289,7731.250655,10475.74695,10625.33458,10052.16406,9384.534036,11762.51301,13659.77612,7454.125071,,[M+2H]2+ 160.118
81.07094348,575.4308954,6960.116942,7652.001811,9383.407569,7317.105227,10054.48139,9688.584707,5741.995572,8995.206796,6519.653082,8309.791939,6504.678337,8222.956439,7265.130686,5613.499174,8693.016793,7681.967187,8307.984566,7799.354453,4891.614788,6750.834953,,[M+2H-C2H4]2+ 188.156
82.01915335,26.61487233,2902.831665,3395.288707,1955.722421,2667.049253,1617.20104,2994.533505,2040.387979,1983.451519,2085.598269,2108.075165,2469.149917,2915.853794,2757.106919,2798.032484,2596.368853,2534.398237,2202.629115,3054.076161,2686.574501,2182.600143,,[M+H-CO]+ 109.006
82.94664503,34.70419182,23502.94729,27406.02354,26658.34067,22096.58922,20142.38618,23715.46105,25787.89612,27123.70969,23230.41623,26746.89036,25811.2914,26269.09963,23036.86794,29324.55644,23699.57147,21890.3219,25501.63889,24387.42706,26605.72688,21030.53513,,[M+Na]+ 59.9513
83.08616122,460.9196242,20126.51943,16205.30808,19239.61752,10193.5361,12793.1202,8215.598364,17044.16102,15264.22759,15334.3624,23096.45399,16087.77531,16387.63341,12539.64157,17770.95514,15550.50582,15641.28692,18710.8963,22259.24373,13200.55865,17106.01486,,
