mz,rt,Exp1_CRR_11a_POS,Exp1_CRR_12a_POS,Exp1_CRR_13a_POS,Exp1_CRR_14a_POS,Exp1_CRR_15a_POS,Exp1_CRR_16a_POS,Exp1_CRR_17a_POS,Exp1_CRR_18a_POS,Exp1_CRR_20a_POS,Exp1_CRR_21a_POS,Exp1_HCC_11a_POS,Exp1_HCC_12a_POS,Exp1_HCC_13a_POS,Exp1_HCC_14a_POS,Exp1_HCC_15a_POS,Exp1_HCC_16a_POS,Exp1_HCC_17a_POS,Exp1_HCC_18a_POS,Exp1_HCC_19a_POS,Exp1_HCC_20a_POS,isotopes,adduct
#,#,CRR,CRR,CRR,CRR,CRR,CRR,CRR,CRR,CRR,CRR,HCC,HCC,HCC,HCC,HCC,HCC,HCC,HCC,HCC,HCC,#,#
87.08920691,33.12684854,909.9111073,963.2077377,1005.929195,727.2947895,865.3023046,803.9941095,693.8247175,913.2564496,821.2210716,664.1405746,692.4235568,789.7326463,832.5156062,977.7767004,486.8497512,695.7824584,808.6071302,633.0888637,595.0945636,997.7270808,[2][M+1]+,
88.50773349,576.1282225,283.9244367,284.1704995,250.8715953,230.7141042,317.5225711,321.7751552,340.1028125,287.8480036,281.3919696,297.0748978,291.5444655,279.4880654,273.0752404,255.5253681,205.3839488,192.7635037,205.5780762,187.3237853,190.1761775,185.6717756,,
89.50428471,576.2267697,3552.3222,3497.564873,3355.177602,3141.643683,4071.961931,4553.826099,4278.669547,4036.294507,3726.138571,3506.404101,4063.820333,3776.004537,3608.162852,3105.275661,2812.714091,2556.791864,2659.581895,2300.931688,2392.397921,2297.70952,,
90.05322146,24.06583879,214.6576525,112.1207405,138.3534834,108.0761627,121.0467598,114.4662091,143.3225846,116.6218967,149.2615163,168.5682197,84.85628635,199.9455112,110.3580441,69.17056917,64.94651908,49.39654693,87.75148181,59.40638396,48.06439418,59.46862856,,
90.50812973,573.7642758,5436.282989,5471.702297,5568.590919,5633.704974,5239.277263,5119.098751,5285.439309,5801.066342,5364.772987,5372.342405,3719.576094,3741.790873,3165.837592,3602.577662,3116.422909,3075.245328,3724.294967,3093.794938,3261.170359,2765.570888,,
90.98788562,19.27735828,4494.828867,4375.567318,4238.197333,4084.48495,3975.092174,4407.362517,3932.243197,3848.22092,3824.643513,3956.319098,2778.691805,2967.267725,2681.236716,2500.886179,2490.911507,2522.760876,2588.827038,2122.479846,2094.850839,2141.085848,,
91.05141901,246.0604437,720.0983246,771.4588116,1407.940171,1524.567406,1040.637086,1157.857583,1337.351398,817.7754145,1246.275935,1203.805454,855.7021833,857.9329578,609.2168966,479.4505104,1150.9796,965.5238902,604.5736784,679.6445701,805.5627952,316.6149498,,
91.50275521,573.1139524,2124.843025,2102.58946,2108.322453,2155.431432,2049.898585,1892.612445,1945.209881,2154.413904,2106.479538,1987.847292,1416.62904,1490.719161,1245.004177,1328.195411,1150.217863,1171.95439,1356.543097,1156.831374,1270.594012,1031.558648,,
92.50125407,573.2182769,379.1484662,355.164761,328.921439,354.8604739,353.7466782,339.9085495,358.6929824,372.868719,362.3630756,311.2683927,249.0290424,247.3078684,180.8672587,226.9530662,207.3635636,219.754781,246.0443767,187.8166322,220.2312128,169.7847202,,
93.06993459,49.45394604,1555.009193,2032.704905,1709.444783,1628.928389,1447.504419,2089.290869,1487.445013,1560.618564,1390.40138,1007.099307,1074.169251,924.1572891,733.5038113,1262.117857,703.9122248,1218.149192,950.1457221,660.1124299,1598.268109,2114.29127,,
93.98636162,575.3637931,204.1427418,186.2474632,195.9027591,201.7444826,200.6835705,183.6053351,185.5501051,220.7469273,178.7548903,187.9527384,141.0917175,143.5927676,135.4984599,127.4662923,114.4759476,129.7320493,142.5276767,113.7563962,101.4035097,116.9359157,,
94.06708675,48.04656801,772.517221,867.5967555,627.085651,578.8219163,689.5009431,669.4688928,396.5991799,506.4295063,464.5423426,250.0393921,490.7712446,273.1786862,351.4630975,501.396551,284.0520897,319.2283513,306.6983551,345.3786552,477.5924539,647.1941223,,
94.97243546,583.6162325,1117.141668,1188.754242,1158.462315,1104.816112,1067.299976,1117.119603,1088.999388,1218.192479,1061.821752,1040.91248,781.2291667,773.3310849,700.3366837,716.4590513,648.1351253,640.7482635,614.9095755,542.8825099,573.8309132,504.207674,,
95.04713791,27.59041434,649.8687753,858.0049587,677.7752065,423.5486158,362.6856655,845.6887458,308.9820592,648.5060196,783.986182,311.160533,378.2621005,212.1665626,237.6638663,275.7567056,323.5517785,294.4838389,406.0447109,251.9993994,685.5291297,447.4553379,,[M+K]+ 56.0792 [M+H-CO]+ 122.037
95.08582706,412.7344887,578.8166032,628.2842511,530.4305457,684.8050401,1236.430203,1888.572572,1108.108747,528.7252769,798.7852495,963.8774348,746.7629531,908.9684274,673.0142849,426.0396026,1060.298397,763.9317142,821.8753399,535.2416294,517.0566336,465.7962055,,[M+H]+ 94.0785
95.08575514,369.2608397,651.2778063,523.3329631,614.7881327,624.6091393,977.3840607,865.3046718,673.9758875,549.1018312,594.3313747,820.9547323,642.1538385,822.5909199,549.388924,609.1357586,888.9065923,615.9394933,763.044555,646.5398136,513.8772321,326.0415277,,
95.97753155,580.1914414,748.7426666,756.1619032,706.1686338,710.3591139,722.4262937,841.2223034,792.5967085,767.2655699,724.2547673,713.0178676,604.4809768,637.7597639,542.587066,488.1800411,463.5143681,417.213916,459.4346391,339.7230165,353.6028094,351.4359371,,
96.07181733,21.34358074,141.0171841,272.451499,122.3556052,183.0347911,107.2029779,167.9260967,138.2968482,103.4230788,146.1475047,287.5613946,100.1141856,54.1304389,53.08532362,83.91324577,117.1422038,109.3356475,87.65514416,72.4006264,126.8118034,51.60954574,,[M+H-CO2]+ 139.06
96.92295887,20.51067549,1008.032464,1180.120897,1213.898661,1180.64817,1043.872953,1115.663036,1057.706956,1098.419099,938.9463935,994.5140564,781.4986086,785.0625194,763.2277908,793.9600636,610.8043836,632.2216167,657.5013695,534.4248486,498.7651823,579.9562319,,[M+2H-COCH2]2+ 233.84
96.96267643,583.4784946,18548.81733,18489.50534,18905.60014,19162.95423,18082.00485,18503.71776,17769.53576,18842.11885,17236.18261,16952.40149,13387.39084,13366.21619,12411.60939,11665.89193,10526.10465,10840.1385,10310.80204,8752.477685,8982.064895,8504.840277,,[M+2H-NH3]2+ 208.933
97.07633855,553.843059,1336.578465,1763.13469,2986.123784,2673.716227,770.4568295,689.1458618,1000.493578,2090.270669,1737.186742,1920.282865,1563.883829,1316.048286,1782.114727,1485.447406,1083.689108,1177.566996,1242.70286,1186.976801,1469.408194,724.1316294,,
97.97057204,580.3018245,13343.14,12979.27739,12674.18277,12345.90376,13435.07521,14486.02108,13853.59103,13536.2767,12716.91813,12400.41442,10856.9683,10633.5558,9622.434673,8532.803884,7910.391361,7419.518609,7525.108464,6127.36772,6179.175253,5920.896407,,[M+H-CO2]+ 140.951
98.91943131,20.04644981,422.4323533,467.0341254,506.6067945,483.8187963,467.4471558,465.372285,487.6496037,433.7735259,411.9215812,425.580082,325.9805205,326.7701104,310.8583051,334.5913929,262.7308358,274.2775445,264.0033931,193.8009307,207.908248,240.0814129,,
99.05428395,476.7590758,1660.837458,1645.908571,1731.521187,1589.369948,1389.550586,1295.425688,1590.561681,1661.655673,1798.348615,1606.720395,1496.397016,1269.834734,1253.046068,1195.629903,1307.821932,1079.62357,1017.663587,974.1840405,1064.355967,1009.532931,,
99.51054426,573.4300798,11485.66392,10902.97873,11277.13226,11282.43969,9285.340601,7906.30102,8184.363177,14825.50975,12022.99682,8933.842301,6643.130847,6480.025595,5738.787511,6051.262511,5567.669615,5419.651666,6759.468319,5252.422213,5671.146756,4992.605144,,
100.0757877,47.68404288,426.0938753,251.9770814,22073.63872,4695.286543,13883.63161,14526.19861,92783.48693,23938.19692,1624.533381,330.0474769,1220.88511,756.8201213,10627.3784,12173.529,1467.100866,2349.319632,6602.455394,5252.401292,342.751418,5603.957315,,
100.5082414,573.4300798,4103.750646,4117.003947,4576.797231,4405.357453,3777.557484,3223.430485,3413.381017,5698.768305,5220.194728,3293.497335,2664.493953,2682.606819,2337.699707,2468.78795,2351.491385,2249.487882,2780.098743,2212.462397,2276.885905,2062.181206,,
101.0783257,48.93232897,70.35312708,72.08454299,1506.538531,296.3990431,924.9849464,949.8673947,5293.755622,1618.545795,118.5036766,57.36491574,91.04528093,65.56212929,717.3185803,836.0905041,95.78247468,169.4778732,416.5652022,314.4531267,50.61450031,397.0955131,,
101.2138012,572.3493574,106.2068868,115.5415529,108.4035707,110.3478782,83.04124831,49.72952794,50.52822721,232.9905975,170.5962432,75.46826622,41.6494649,38.86865957,37.30039727,38.1991387,35.57071013,38.45829323,33.65213349,33.51233526,32.62797984,39.09765407,,
102.1172025,562.5062271,16409.87898,19365.91309,33690.32178,35322.14404,10127.0821,7160.06459,9619.985489,26126.90353,16241.01657,17861.71597,9858.495376,7365.788204,10003.05974,14506.98266,9887.308277,9391.516537,11428.27176,10544.62261,10790.66561,7261.845055,,
102.9577777,573.7926387,562.8412279,565.434133,540.5792155,534.5868745,521.5447642,478.6039512,549.1753592,523.9636756,537.9543563,515.272156,355.2372777,348.1759973,270.4234253,313.524176,285.0639556,280.3955528,308.6021187,256.24635,279.5944889,253.2751564,,[M+K]+ 63.9906 [M+K]+ 63.9906
103.0545754,49.38716495,11680.13701,14544.3535,12341.50167,11728.57392,10221.73761,15270.76965,10576.44811,10965.68946,10246.00407,7160.355099,7868.198593,6911.514412,5311.945676,8673.175567,4694.381999,9292.950808,6772.410291,4953.780647,12081.49084,15778.43576,,[M+H-HCOOH]+ 148.054
103.9575786,565.8597725,8535.014059,8076.201985,7755.695566,7781.65257,6017.814746,5982.252108,7657.575123,8527.484179,7667.8514,7993.747918,6326.057704,8244.10543,5489.079264,5371.249709,5995.952427,5218.404255,5340.079661,4533.372575,4909.03219,4420.182892,,[M+Na+K]2+ 145.966
104.1069062,298.5558613,3216.453343,4363.628728,2712.22865,2322.361808,3241.17177,3134.42513,2605.710079,2405.174675,4152.917275,3806.453872,2632.564416,3611.277292,2848.918546,3972.045617,2245.159164,3162.714997,2638.618448,2910.859674,2417.76721,2601.299972,,
